Норматив отопления;Норматив отопления элек;Норматив ХВ;Норматив ГВ;Норматив ГВ энергия;Норматив ТКО;Норматив ТКО общ;Норматив ТКО площадь;Норматив ТКО кбм
;207.0;5.32;;;;;;
;168.0;5.42;;;;;;
;146.0;2.52;;;;;;
;487.0;1.72;;;;;;
;302.0;1.22;;;;;;
;234.0;3.01;;;;;;
;190.0;1.01;;;;;;
;166.0;2.66;;;;;;
;527.0;1.72;;;;;;
;327.0;1.72;;;;;;
;253.0;4.88;;;;;;
;206.0;3.18;;;;;;
;179.0;4.29;;;;;;
;298.0;4.33;;;;;;
;185.0;5.32;;;;;;
;143.0;7.46;;;;;;
;116.0;7.56;;;;;;
;101.0;4.29;;;;;;
;338.0;4.33;;;;;;
;209.0;5.32;;;;;;
;162.0;7.46;;;;;;
;132.0;7.56;;;;;;
;115.0;4.29;;;;;;
;365.0;4.33;;;;;;
;227.0;3.79;;;;;;
;175.0;6.36;;;;;;
;143.0;7.46;;;;;;
;124.0;7.56;;;;;;
;469.0;3.86;;;;;;
;291.0;1.72;;;;;;
;225.0;3.01;;;;;;
;183.0;4.24;;;;;;
;159.0;4.29;;;;;;
;334.0;4.33;;;;;;
;207.0;3.02;;;;;;
;160.0;3.79;;;;;;
;130.0;7.36;;;;;;
;113.0;7.46;;;;;;
;431.0;7.56;;;;;;
;267.0;7.16;;;;;;
;207.0;6.36;;;;;;
;168.0;3.86;;;;;;
;146.0;3.15;;;;;;
;487.0;5.22;;;;;;
;302.0;5.32;;;;;;
;234.0;5.42;;;;;;
;190.0;2.52;;;;;;
;166.0;1.72;;;;;;
;527.0;1.22;;;;;;
;327.0;3.01;;;;;;
;253.0;1.01;;;;;;
;206.0;2.66;;;;;;
;179.0;1.72;;;;;;
;298.0;1.72;;;;;;
;185.0;4.88;;;;;;
;143.0;3.18;;;;;;
;116.0;4.29;;;;;;
;101.0;4.33;;;;;;
;338.0;3.79;;;;;;
;209.0;6.36;;;;;;
;162.0;7.46;;;;;;
;132.0;7.56;;;;;;
;115.0;3.86;;;;;;
;365.0;1.72;;;;;;
;227.0;3.01;;;;;;
;175.0;7.36;;;;;;
;143.0;4.29;;;;;;
;124.0;4.33;;;;;;
;469.0;7.46;;;;;;
;291.0;7.56;;;;;;
;225.0;7.16;;;;;;
;183.0;3.86;;;;;;
;159.0;4.29;;;;;;
;298.0;4.33;;;;;;
;338.0;3.79;;;;;;
;365.0;6.36;;;;;;
;143.0;7.46;;;;;;
;185.0;7.56;;;;;;
;209.0;3.86;;;;;;
;227.0;1.72;;;;;;
;111.0;3.01;;;;;;
;143.0;4.24;;;;;;
;162.0;4.29;;;;;;
;175.0;4.33;;;;;;
;90.0;3.02;;;;;;
;116.0;3.79;;;;;;
;132.0;7.36;;;;;;
;143.0;7.46;;;;;;
;404.0;7.16;;;;;;
;441.0;6.36;;;;;;
;469.0;3.86;;;;;;
;215.0;3.15;;;;;;
;250.0;5.22;;;;;;
;274.0;5.32;;;;;;
;291.0;5.42;;;;;;
;164.0;2.52;;;;;;
;194.0;1.72;;;;;;
;212.0;1.22;;;;;;
;225.0;3.01;;;;;;
;133.0;1.01;;;;;;
;157.0;2.66;;;;;;
;172.0;1.72;;;;;;
;183.0;1.72;;;;;;
;334.0;4.88;;;;;;
;207.0;3.18;;;;;;
;160.0;;;;;;;
;130.0;;;;;;;
;113.0;;;;;;;
;431.0;;;;;;;
;267.0;;;;;;;
;207.0;;;;;;;
;168.0;;;;;;;
;146.0;;;;;;;
;487.0;;;;;;;
;302.0;;;;;;;
;234.0;;;;;;;
;190.0;;;;;;;
;166.0;;;;;;;
;231.0;;;;;;;
;143.0;;;;;;;
;111.0;;;;;;;
;90.0;;;;;;;
;79.0;;;;;;;
;298.0;;;;;;;
;185.0;;;;;;;
;143.0;;;;;;;
;116.0;;;;;;;
;101.0;;;;;;;
;338.0;;;;;;;
;209.0;;;;;;;
;162.0;;;;;;;
;132.0;;;;;;;
;115.0;;;;;;;
;342.0;;;;;;;
;212.0;;;;;;;
;164.0;;;;;;;
;133.0;;;;;;;
;116.0;;;;;;;
;404.0;;;;;;;
;250.0;;;;;;;
;194.0;;;;;;;
;157.0;;;;;;;
;137.0;;;;;;;
;441.0;;;;;;;
;274.0;;;;;;;
;212.0;;;;;;;
;172.0;;;;;;;
;150.0;;;;;;;
;334.0;;;;;;;
;207.0;;;;;;;
;160.0;;;;;;;
;130.0;;;;;;;
;113.0;;;;;;;
;431.0;;;;;;;
;267.0;;;;;;;
;207.0;;;;;;;
;168.0;;;;;;;
;146.0;;;;;;;
;487.0;;;;;;;
;302.0;;;;;;;
;234.0;;;;;;;
;190.0;;;;;;;
;166.0;;;;;;;
;231.0;;;;;;;
