NUMLS;SOB;TARTO;SUMTO;SUMTO_check;PROBLEM_FLAG
40069964;57.1;34.54;1972.23;1972.23;0
40023367;48.8;34.54;1685.55;1685.55;0
40010521;59.8;44.79;2678.44;2678.44;0
40069547;51.1;44.79;2288.77;2288.77;0
40069752;52.8;44.79;2364.91;2364.91;0
40020526;56.2;34.54;1941.15;1941.15;0
40070053;47.0;44.79;2105.13;2105.13;0
40069553;67.9;44.79;3041.24;3041.24;0
40069381;58.9;44.79;2638.13;2638.13;0
40010561;46.2;44.79;2069.3;2069.3;0
40023368;29.9;34.54;1032.75;1032.75;0
40068281;48.4;44.79;2167.84;2167.84;0
40068972;44.0;34.54;1519.76;1519.76;0
40068981;30.1;34.54;1039.65;1039.65;0
40068611;30.8;34.54;1063.83;1063.83;0
40068701;49.9;34.54;1723.55;1723.55;0
40067820;57.6;30.86;1777.54;1777.54;0
40068355;40.6;34.54;1402.32;1402.32;0
40068665;13.7;29.99;410.86;410.86;0
40068198;42.8;34.54;1478.31;1478.31;0
40069794;57.7;34.54;1992.96;1992.96;0
40070005;44.8;44.79;2006.59;2006.59;0
40068309;62.4;44.79;2794.9;2794.9;0
40013344;69.0;34.54;2383.26;2383.26;0
40069983;59.0;44.79;2642.61;2642.61;0
40070014;45.9;44.79;2055.86;2055.86;0
40010498;44.1;44.79;1975.24;1975.24;0
40010584;32.3;44.79;1446.72;1446.72;0
40069229;56.9;34.54;1965.33;1965.33;0
40069942;57.3;34.54;1979.14;1979.14;0
40068943;57.8;33.67;1946.13;1946.13;0
40013342;39.5;34.54;1364.33;1364.33;0
40036879;32.6;34.54;1126.0;1126.0;0
40068362;40.6;34.54;1402.32;1402.32;0
40069451;61.3;44.79;2745.63;2745.63;0
40069738;52.8;44.79;2364.91;2364.91;0
40070028;46.5;44.79;2082.74;2082.74;0
40069537;36.3;44.79;1625.88;1625.88;0
40069585;50.7;44.79;2270.85;2270.85;0
40010629;47.7;44.79;2136.48;2136.48;0
40068650;22.1;29.99;662.78;662.78;0
40069868;31.7;34.54;1094.92;1094.92;0
40068593;30.6;34.54;1056.92;1056.92;0
40068590;40.6;34.54;1402.32;1402.32;0
40023403;39.8;34.54;1374.69;1374.69;0
40069024;39.2;34.54;1353.97;1353.97;0
40069240;32.7;34.54;1129.46;1129.46;0
40070052;59.5;44.79;2665.01;2665.01;0
40068337;40.8;34.54;1409.23;1409.23;0
40068339;30.9;34.54;1067.29;1067.29;0
40068398;50.2;34.54;1733.91;1733.91;0
40069759;69.3;44.79;3103.95;3103.95;0
40069787;32.8;34.54;1132.91;1132.91;0
40069753;69.9;44.79;3130.82;3130.82;0
40010677;32.7;44.79;1464.63;1464.63;0
40069656;52.5;44.79;2351.48;2351.48;0
40069833;32.4;34.54;1119.1;1119.1;0
40069094;48.1;34.54;1661.37;1661.37;0
40069859;32.1;34.54;1108.73;1108.73;0
40069966;48.7;34.54;1682.1;1682.1;0
40069153;49.0;34.54;1692.46;1692.46;0
40010659;44.3;44.79;1984.2;1984.2;0
40068806;41.1;34.54;1419.59;1419.59;0
40068299;46.8;44.79;2096.17;2096.17;0
40069678;67.5;44.79;3023.33;3023.33;0
40010565;46.8;44.79;2096.17;2096.17;0
40070029;60.1;44.79;2691.88;2691.88;0
40010491;18.89;44.79;846.08;846.08;0
40070006;58.9;44.79;2638.13;2638.13;0
