Норматив отопления,Норматив отопления элек (Комнаты - Человек - Значение),Норматив ХВ,Норматив ГВ,Норматив ГВ энергия,Норматив ТКО,Норматив ТКО общ,Норматив ТКО площадь,Норматив ТКО кбм
,4 и более - 3 - 175,"3,02",,,,,,
,4 и более - 4 - 143,"3,79",,,,,,
,4 и более - 5 - 124,"7,36",,,,,,
,1 - 1 - 334,"7,46",,,,,,
,1 - 2 - 207,"7,56",,,,,,
,1 - 3 - 160,"7,16",,,,,,
,1 - 4 - 130,"6,36",,,,,,
,1 - 5 - 113,"3,86",,,,,,
,2 - 1 - 431,"3,15",,,,,,
,2 - 2 - 267,"5,22",,,,,,
,2 - 3 - 207,"5,32",,,,,,
,2 - 4 - 168,"5,42",,,,,,
,2 - 5 - 146,"2,52",,,,,,
,3 - 1 - 487,"1,72",,,,,,
,3 - 2 - 302,"1,22",,,,,,
,3 - 3 - 234,"3,01",,,,,,
,3 - 4 - 190,"1,01",,,,,,
,3 - 5 - 166,"2,66",,,,,,
,4 и более - 1 - 527,"1,72",,,,,,
,4 и более - 2 - 327,"1,72",,,,,,
,4 и более - 3 - 253,"4,88",,,,,,
,4 и более - 4 - 206,"3,18",,,,,,
,4 и более - 5 - 179,"4,29",,,,,,
,2 - 1 - 298,"4,33",,,,,,
,2 - 2 - 185,"5,32",,,,,,
,2 - 3 - 143,"7,46",,,,,,
,2 - 4 - 116,"7,56",,,,,,
,2 - 5 - 101,"4,29",,,,,,
,3 - 1 - 338,"4,33",,,,,,
,3 - 2 - 209,"5,32",,,,,,
,3 - 3 - 162,"7,46",,,,,,
,3 - 4 - 132,"7,56",,,,,,
,3 - 5 - 115,"4,29",,,,,,
,4 и более - 1 - 365,"4,33",,,,,,
,4 и более - 2 - 227,"3,79",,,,,,
,4 и более - 3 - 175,"6,36",,,,,,
,4 и более - 4 - 143,"7,46",,,,,,
,4 и более - 5 - 124,"7,56",,,,,,
,4 и более - 1 - 469,"3,86",,,,,,
,4 и более - 2 - 291,"1,72",,,,,,
,4 и более - 3 - 225,"3,01",,,,,,
,4 и более - 4 - 183,"4,24",,,,,,
,4 и более - 5 - 159,"4,29",,,,,,
,1 - 1 - 334,"4,33",,,,,,
,1 - 2 - 207,"3,02",,,,,,
,1 - 3 - 160,"3,79",,,,,,
,1 - 4 - 130,"7,36",,,,,,
,1 - 5 - 113,"7,46",,,,,,
,2 - 1 - 431,"7,56",,,,,,
,2 - 2 - 267,"7,16",,,,,,
,2 - 3 - 207,"6,36",,,,,,
,2 - 4 - 168,"3,86",,,,,,
,2 - 5 - 146,"3,15",,,,,,
,3 - 1 - 487,"5,22",,,,,,
,3 - 2 - 302,"5,32",,,,,,
,3 - 3 - 234,"5,42",,,,,,
,3 - 4 - 190,"2,52",,,,,,
,3 - 5 - 166,"1,72",,,,,,
,4 и более - 1 - 527,"1,22",,,,,,
,4 и более - 2 - 327,"3,01",,,,,,
,4 и более - 3 - 253,"1,01",,,,,,
,4 и более - 4 - 206,"2,66",,,,,,
,4 и более - 5 - 179,"1,72",,,,,,
,2 - 1 - 298,"1,72",,,,,,
,2 - 2 - 185,"4,88",,,,,,
,2 - 3 - 143,"3,18",,,,,,
,2 - 4 - 116,"4,29",,,,,,
,2 - 5 - 101,"4,33",,,,,,
,3 - 1 - 338,"3,79",,,,,,
,3 - 2 - 209,"6,36",,,,,,
,3 - 3 - 162,"7,46",,,,,,
,3 - 4 - 132,"7,56",,,,,,
,3 - 5 - 115,"3,86",,,,,,
,4 и более - 1 - 365,"1,72",,,,,,
,4 и более - 2 - 227,"3,01",,,,,,
,4 и более - 3 - 175,"7,36",,,,,,
,4 и более - 4 - 143,"4,29",,,,,,
,4 и более - 5 - 124,"4,33",,,,,,
,4 и более - 1 - 469,"7,46",,,,,,
,4 и более - 2 - 291,"7,56",,,,,,
,4 и более - 3 - 225,"7,16",,,,,,
,4 и более - 4 - 183,"3,86",,,,,,
,4 и более - 5 - 159,"4,29",,,,,,
,2 - 1 - 298,"4,33",,,,,,
,3 - 1 - 338,"3,79",,,,,,
,4 и более - 1 - 365,"6,36",,,,,,
,1 - 2 - 143,"7,46",,,,,,
,2 - 2 - 185,"7,56",,,,,,
,3 - 2 - 209,"3,86",,,,,,
,4 и более - 2 - 227,"1,72",,,,,,
,1 - 3 - 111,"3,01",,,,,,
,2 - 3 - 143,"4,24",,,,,,
,3 - 3 - 162,"4,29",,,,,,
,4 и более - 3 - 175,"4,33",,,,,,
,1 - 4 - 90,"3,02",,,,,,
,2 - 4 - 116,"3,79",,,,,,
,3 - 4 - 132,"7,36",,,,,,
,4 и более - 4 - 143,"7,46",,,,,,
,2 - 1 - 404,"7,16",,,,,,
,3 - 1 - 441,"6,36",,,,,,
,4 и более - 1 - 469,"3,86",,,,,,
,1 - 2 - 215,"3,15",,,,,,
,2 - 2 - 250,"5,22",,,,,,
,3 - 2 - 274,"5,32",,,,,,
,4 и более - 2 - 291,"5,42",,,,,,
,1 - 3 - 164,"2,52",,,,,,
,2 - 3 - 194,"1,72",,,,,,
,3 - 3 - 212,"1,22",,,,,,
,4 и более - 3 - 225,"3,01",,,,,,
,1 - 4 - 133,"1,01",,,,,,
,2 - 4 - 157,"2,66",,,,,,
,3 - 4 - 172,"1,72",,,,,,
,4 и более - 4 - 183,"1,72",,,,,,
,1 - 1 - 334,"4,88",,,,,,
,1 - 2 - 207,"3,18",,,,,,
,1 - 3 - 160,,,,,,,
